Net_Profit,Counter_Sales,Drive-through_Sales,number_of_customers,Business_Type,Location 
2,8.4,7.7,101,Café,Vancouver
1.3,3.3,4.5,59,Café,Vancouver
1.2,5.8,8.4,103,Pizza Store,Richmond
2.4,10,7.8,106,Burger store,Richmond
0.7,4.7,2.4,80,Café,Richmond
1.3,7.7,4.8,108,Café,Richmond
1.1,4.5,2.5,81,Café,Vancouver
2.3,8.6,3.4,139,Burger store,Vancouver
0.9,5.9,2,107,Café,Vancouver
1.6,6.3,4.1,84,Burger store,Vancouver
2,8.4,7.7,100,Café,Vancouver
1.3,3.3,4.5,104,Café,Vancouver
1.7,5.8,8.4,130,Café,Vancouver
1.4,10,7.8,138,Pizza Store,Vancouver
1.2,4.7,2.4,64,Burger store,Vancouver
1.8,7.7,4.8,79,Burger store,Vancouver
1.6,4.5,2.5,123,Burger store,Vancouver
1.8,8.6,3.4,102,Café,Vancouver
1.4,5.9,2,115,Burger store,Vancouver
1.1,6.3,4.1,83,Café,Vancouver
1.5,8.4,7.7,80,Pizza Store,Vancouver
1.3,3.3,4.5,143,Café,Vancouver
1.2,5.8,8.4,134,Pizza Store,Vancouver
2.4,10,7.8,139,Burger store,Vancouver
1.2,4.7,2.4,53,Burger store,Vancouver
1.3,7.7,4.8,134,Café,Vancouver
1.1,4.5,2.5,117,Café,Vancouver
1.3,8.6,3.4,61,Pizza Store,Vancouver
0.9,5.9,2,130,Café,Vancouver
1.6,6.3,4.1,101,Burger store,Vancouver
2,8.4,7.7,138,Café,Vancouver
0.8,3.3,4.5,124,Pizza Store,Vancouver
2.2,5.8,8.4,54,Burger store,Vancouver
2.4,10,7.8,76,Burger store,Vancouver
1.2,4.7,2.4,119,Burger store,Vancouver
0.8,7.7,4.8,72,Pizza Store,Vancouver
1.6,4.5,2.5,49,Burger store,Vancouver
1.8,8.6,3.4,93,Café,Vancouver
0.9,5.9,2,73,Café,Vancouver
1.6,6.3,4.1,92,Burger store,Vancouver
2,8.4,7.7,119,Café,Vancouver
0.8,3.3,4.5,102,Pizza Store,Vancouver
1.2,5.8,8.4,103,Pizza Store,Vancouver
1.9,10,7.8,90,Café,Vancouver
0.7,4.7,2.4,142,Café,Vancouver
0.8,7.7,4.8,110,Pizza Store,Vancouver
0.6,4.5,2.5,92,Pizza Store,Vancouver
2.3,8.6,3.4,122,Burger store,Vancouver
0.9,5.9,2,136,Café,Vancouver
1.6,6.3,4.1,124,Burger store,Vancouver
2,8.4,7.7,75,Café,Vancouver
1.3,3.3,4.5,116,Café,Vancouver
1.2,5.8,8.4,93,Pizza Store,Vancouver
2.4,10,7.8,94,Burger store,Vancouver
0.7,4.7,2.4,135,Café,Vancouver
1.8,7.7,4.8,86,Burger store,Vancouver
0.6,4.5,2.5,87,Pizza Store,Vancouver
2.3,8.6,3.4,57,Burger store,Vancouver
0.4,5.9,2,130,Pizza Store,Vancouver
1.1,6.3,4.1,119,Café,Vancouver
2.5,8.4,7.7,93,Burger store,Vancouver
1.8,3.3,4.5,96,Burger store,Vancouver
2.2,5.8,8.4,97,Burger store,Vancouver
2.4,10,7.8,55,Burger store,Vancouver
1.2,4.7,2.4,97,Burger store,Vancouver
0.8,7.7,4.8,108,Pizza Store,Vancouver
1.1,4.5,2.5,111,Café,Vancouver
1.3,8.6,3.4,124,Pizza Store,Vancouver
0.9,5.9,2,89,Café,Vancouver
0.6,6.3,4.1,128,Pizza Store,Vancouver
2.5,8.4,7.7,131,Burger store,Vancouver
1.3,3.3,4.5,72,Café,Vancouver
2.2,5.8,8.4,125,Burger store,Vancouver
1.9,10,7.8,131,Café,Vancouver
0.2,4.7,2.4,104,Pizza Store,Vancouver
1.8,7.7,4.8,109,Burger store,Vancouver
1.6,4.5,2.5,46,Burger store,Vancouver
2.3,8.6,3.4,66,Burger store,Vancouver
1.4,5.9,2,67,Burger store,Vancouver
0.6,6.3,4.1,46,Pizza Store,Vancouver
1.7,8.4,7.7,99,Pizza Store,Vancouver
1.8,3.3,4.5,131,Burger store,Vancouver
2.6,5.8,8.4,141,Burger store,Vancouver
1.4,10,7.8,90,Pizza Store,Vancouver
0.2,4.7,2.4,92,Pizza Store,Vancouver
1,7.7,4.8,71,Pizza Store,Vancouver
0.6,4.5,2.5,129,Pizza Store,Vancouver
2.3,8.6,3.4,107,Burger store,Vancouver
1.6,5.9,2,64,Café,Vancouver
0.6,6.3,4.1,96,Pizza Store,Vancouver
2.5,8.4,7.7,56,Burger store,Vancouver
1.6,3.3,4.5,115,Burger store,Vancouver
1.2,5.8,8.3,83,Pizza Store,Vancouver
1.9,9.8,7.8,94,Café,Vancouver
1.2,4.7,2.4,62,Burger store,Vancouver
1.8,7.7,4.8,104,Burger store,Vancouver
0.6,4.5,2.5,80,Pizza Store,Vancouver
1.3,9.1,3.4,129,Pizza Store,Vancouver
1,5.9,2.2,85,Café,Vancouver
1.8,6.3,4.2,133,Burger store,Vancouver
